Show.Name,Show.Theatre
Thoroughly Modern Millie,['Marquis']
Thou Shalt Not,['Plymouth']
Three Days Of Rain,['Jacobs']
Three Sisters,['Criterion']
Thurgood,['Booth']
Thérèse Raquin,['Studio 54']
Time Stands Still,['Friedman' 'Cort']
Titanic,['Lunt-Fontanne']
Title Of Show,['Lyceum']
To Be Or Not To Be,['Friedman']
Tommy,['St. James']
Top Girls,['Biltmore']
Topdog / Underdog,['Ambassador']
Translations 06,['Biltmore']
Triumph Of Love,['Royale']
Tru,['Booth']
True West,['Circle In The Square']
Tuck Everlasting,['Broadhurst']
Twelfth Night,['Vivian Beaumont']
Twelfth Night/Richard Iii,['Belasco']
Twelve Angry Men,['American Airlines']
Twentieth Century,['American Airlines']
Uncle Vanya,['Circle In The Square']
Uncle Vanya 00,['Brooks Atkinson']
Urban Cowboy,['Broadhurst']
Urinetown,['Henry Miller']
Vanya And Sonia And Masha And Spike,['Golden']
Venus In Fur,['Friedman' 'Lyceum']
Via Dolorosa,['Booth']
Victor/Victoria,['Marquis']
Vincent In Brixton,['Golden']
Violet,['American Airlines']
Voices In The Dark,['Longacre']
Wait Until Dark,['Brooks Atkinson']
Waiting For Godot,['Studio 54']
Waiting In The Wings,"['Walter Kerr' ""Eugene O'Neill""]"
Waitress,['Brooks Atkinson']
War Horse,['Vivian Beaumont']
Well,['Longacre']
West Side Story,['Palace']
Who'S Afraid Of Virginia Woolf?,['Longacre']
Who'S Afraid Of Virginia Woolf? '12,['Booth']
Whoopi,['Lyceum']
Wicked,['Gershwin']
Wishful Drinking,['Studio 54']
Wit,['Friedman']
Wolf Hall Parts One & Two,['Winter Garden']
Women On The Verge Of A Nervous Breakdown,['Belasco']
Wonderful Town,['Al Hirschfeld']
Wonderland,['Marquis']
Wrong Mountain,"[""Eugene O'Neill""]"
Xanadu,['Helen Hayes']
You Can'T Take It With You,['Longacre']
"You'Re A Good Man, Charlie Brown",['Ambassador']
You'Re Welcome America. A Final Night With George W. Bush,['Cort']
Young Frankenstein,['Hilton Theatre']
